Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
25,50,26,Red,Ground Nuts,15,14,11,17-17-17
29,58,34,Sandy,Millets,15,0,37,DAP
27,54,30,Clayey,Pulses,13,0,13,20-20
30,60,58,Loamy,Sugarcane,10,7,32,14-35-14
32,62,34,Red,Tobacco,22,0,24,28-28
34,65,60,Black,Sugarcane,35,0,0,Urea
35,67,42,Sandy,Barley,10,0,35,DAP
38,70,48,Loamy,Wheat,8,8,28,14-35-14
26,52,32,Black,Oil seeds,12,0,8,20-20
29,58,43,Clayey,Paddy,24,0,18,28-28
30,60,29,Red,Ground Nuts,41,0,0,Urea
33,64,51,Sandy,Maize,5,9,29,14-35-14
34,65,31,Red,Tobacco,23,0,21,28-28
36,68,33,Black,Oil seeds,13,0,14,20-20
28,54,38,Clayey,Pulses,40,0,0,Urea
30,60,47,Sandy,Barley,12,0,42,DAP
31,62,63,Red,Cotton,11,12,15,17-17-17
27,53,43,Black,Millets,23,0,24,28-28
34,65,54,Loamy,Wheat,38,0,0,Urea
29,58,37,Sandy,Millets,8,0,15,20-20
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17
32,62,34,Red,Ground Nuts,15,0,37,DAP
28,54,41,Clayey,Paddy,36,0,0,Urea
30,60,49,Loamy,Wheat,13,0,9,20-20
34,65,64,Black,Cotton,24,0,20,28-28
28,54,47,Sandy,Barley,5,18,15,10/26/2026
27,53,35,Black,Oil seeds,37,0,0,Urea
36,68,62,Red,Cotton,15,0,40,DAP
34,65,57,Black,Sugarcane,9,0,13,20-20
29,58,55,Loamy,Sugarcane,8,8,33,14-35-14
25,50,40,Clayey,Pulses,6,19,16,10/26/2026
30,60,38,Sandy,Millets,10,0,14,20-20
26,52,39,Clayey,Pulses,21,0,23,28-28
31,62,32,Red,Tobacco,39,0,0,Urea
34,65,48,Loamy,Wheat,23,0,19,28-28
27,53,34,Black,Oil seeds,42,0,0,Urea
33,64,31,Red,Ground Nuts,13,0,39,DAP
29,58,42,Clayey,Paddy,9,10,22,14-35-14
30,60,47,Sandy,Maize,22,0,21,28-28
27,53,59,Loamy,Sugarcane,10,0,15,20-20
26,52,36,Clayey,Pulses,7,16,20,10/26/2026
34,65,63,Red,Cotton,14,0,38,DAP
28,54,43,Clayey,Paddy,10,8,29,14-35-14
30,60,40,Sandy,Millets,41,0,0,Urea
29,58,65,Black,Cotton,14,0,35,DAP
26,52,59,Loamy,Sugarcane,11,0,9,20-20
31,62,44,Sandy,Barley,21,0,28,28-28
35,67,28,Clayey,Pulses,8,7,31,14-35-14
29,58,30,Red,Tobacco,13,17,16,10/26/2026
27,53,30,Black,Millets,35,0,0,Urea
36,68,50,Loamy,Wheat,12,18,19,10/26/2026
29,58,61,Loamy,Cotton,11,0,38,DAP
30,60,26,Black,Oil seeds,8,9,30,14-35-14
34,65,45,Clayey,Paddy,6,19,21,10/26/2026
36,68,41,Red,Ground Nuts,41,0,0,Urea
28,54,25,Sandy,Maize,9,10,30,14-35-14
25,50,32,Clayey,Pulses,24,0,19,28-28
30,60,27,Red,Tobacco,4,17,17,10/26/2026
38,72,51,Loamy,Wheat,39,0,0,Urea
36,60,43,Sandy,Millets,15,0,41,DAP
29,58,57,Black,Sugarcane,12,0,10,20-20
34.99,55.23,29.31,Clayey,Grapes,82,42,59,DAP
17.77,24.43,40,Peaty,PigeonPeas,24,13,15,Ammonium Sulphate
31.63,47.23,27.86,Silt,Pomegranate,71,29,37,Urea
33.58,87.6,14.72,Sandy,Banana,85,22,49,DAP
16.72,25.04,57.08,Clayey,Pomegranate,0,82,20,MOP
22.23,27.67,12.41,Chalky,Pomegranate,11,26,20,Ammonium Sulphate
34.67,67.38,44.11,Clayey,Mango,24,26,61,SSP
31.84,58.72,24.8,Silt,Maize,88,41,41,Urea
32.36,84.44,16.05,Silt,Maize,51,48,64,NPK
17.87,38.29,31.47,Silt,Lentil,18,95,24,MOP
15.74,69.16,36.06,Clayey,Mango,16,14,11,Ammonium Sulphate
17.07,87.24,51.16,Sandy,Grapes,65,47,37,Urea
19.52,80.28,38.03,Clayey,Lentil,79,26,36,Urea
27.64,55.3,55.38,Clayey,KidneyBeans,71,26,45,DAP
22.97,64.89,55,Loamy,Lentil,64,42,57,NPK
25.75,23.89,28.25,Silt,Blackgram,63,40,66,NPK
29.66,78.28,56.15,Loamy,Grapes,14,78,24,MOP
33.03,64.47,48.36,Chalky,Blackgram,7,100,5,MOP
32.1,77.3,23.69,Sandy,PigeonPeas,18,97,7,MOP
24.96,57.34,12.79,Sandy,Maize,85,27,34,Urea
34.88,60.54,10.76,Sandy,Banana,84,21,31,Urea
29.72,34.34,56,Loamy,Lentil,84,48,46,Urea
18.1,41.97,6.06,Clayey,ChickPea,63,29,47,Urea
28.24,50.6,44.55,Loamy,Pomegranate,29,15,24,Ammonium Sulphate
27.94,39.97,23.66,Peaty,Pomegranate,71,35,39,Urea
19.63,33.37,56.89,Sandy,Grapes,12,90,23,MOP
30.12,72.33,22.3,Chalky,Lentil,90,37,38,Urea
28.01,66.74,8.32,Loamy,Pomegranate,86,22,40,DAP
16.93,82.03,53.12,Peaty,PigeonPeas,82,44,31,Urea
32.73,83.44,54.44,Peaty,ChickPea,11,22,20,Ammonium Sulphate
29.22,30.07,21.59,Chalky,Rice,17,70,19,MOP
16.5,33.15,13.69,Loamy,Blackgram,58,62,66,NPK
31.79,57.55,20.17,Loamy,Pomegranate,55,77,50,NPK
15.45,26.15,25,Peaty,KidneyBeans,68,55,78,NPK
21.35,45.38,24.32,Clayey,Lentil,90,38,64,DAP
21.8,21.2,27.87,Chalky,Maize,19,30,25,Ammonium Sulphate
26.22,67.84,37.63,Clayey,Rice,36,23,54,SSP
20.3,39.41,25.43,Chalky,ChickPea,87,46,38,Urea
16.55,76.13,22.94,Sandy,ChickPea,83,39,44,Urea
33.65,38.11,40.22,Loamy,Blackgram,69,30,40,Urea
20.51,23.16,36.57,Loamy,Mango,31,18,80,SSP
15.27,88.27,20.72,Chalky,Lentil,3,96,2,MOP
29.1,43.86,38.27,Loamy,Rice,73,31,48,DAP
28.48,59.71,46.99,Loamy,PigeonPeas,12,29,14,Ammonium Sulphate
23.46,54.55,42.8,Silt,Maize,74,26,49,Urea
25.41,82.16,56.29,Silt,Lentil,69,38,39,Urea
19.12,59.04,17.62,Silt,KidneyBeans,70,30,39,Urea
32.6,39.05,43.54,Clayey,Grapes,32,25,65,SSP
28.78,45.69,49.45,Clayey,Mango,16,73,21,MOP
18.96,53.07,11.39,Silt,Rice,0,76,26,MOP
32.5,84.14,34.09,Sandy,Rice,39,29,60,SSP
33.62,34.28,19.37,Clayey,Rice,5,74,26,MOP
31.66,29.57,12.35,Chalky,Rice,58,51,51,NPK
23.14,29.53,7.02,Sandy,Mango,62,41,47,Urea
30.81,31.82,53.91,Peaty,Pomegranate,83,28,47,Urea
20.36,42.51,38.23,Peaty,Rice,80,42,50,NPK
19.36,43.5,15.08,Silt,Maize,81,36,34,Urea
22.34,77.65,40.35,Sandy,KidneyBeans,25,13,55,SSP
32.93,54.89,7.28,Sandy,Rice,13,26,18,Ammonium Sulphate
26.92,33.03,18.3,Sandy,PigeonPeas,44,41,46,NPK
16.68,20.76,17.83,Sandy,Blackgram,28,25,52,SSP
34.02,40.56,30.19,Loamy,Pomegranate,62,24,37,Urea
32.12,25.95,56.46,Loamy,Rice,38,10,71,SSP
24.6,86.91,26.12,Loamy,Pomegranate,39,29,58,SSP
31.72,82.56,6.2,Peaty,Grapes,23,23,51,SSP
34.12,61.87,32.48,Chalky,Lentil,81,36,67,DAP
17.47,67.17,37.97,Sandy,Pomegranate,76,73,53,NPK
17.02,87.78,25.35,Clayey,Pomegranate,16,91,8,MOP
17.99,26,15.82,Loamy,Maize,86,27,43,DAP
16.71,57.59,5.33,Chalky,Lentil,71,42,49,DAP
30.02,39.34,40.65,Clayey,Mango,60,71,47,NPK
19.71,22.67,6.8,Sandy,Mango,4,99,4,MOP
21.81,45.77,47.37,Loamy,Banana,14,76,5,MOP
15.87,30.1,42.39,Loamy,Maize,30,10,27,Ammonium Sulphate
26.3,47.05,13.93,Peaty,Grapes,78,33,40,DAP
20.97,36.75,31.58,Chalky,Lentil,68,52,74,NPK
29.41,28.62,34.4,Sandy,Rice,61,60,65,NPK
34.03,38.05,12.18,Peaty,Blackgram,77,21,55,DAP
22.63,80.9,47.82,Sandy,Lentil,11,80,14,MOP
15.27,35.96,35.06,Peaty,PigeonPeas,27,14,52,SSP
29.81,64.53,17.76,Chalky,KidneyBeans,19,94,14,MOP
22.16,73.66,45.59,Peaty,KidneyBeans,100,33,64,DAP
18.36,76.36,37.39,Chalky,KidneyBeans,11,20,17,Ammonium Sulphate
15.56,46.64,21.69,Sandy,Maize,30,26,60,SSP
33.47,71.18,44.24,Chalky,Pomegranate,57,77,55,NPK
17.12,61.59,37.73,Peaty,Banana,95,45,54,DAP
28.89,46.52,51.09,Silt,Mango,40,20,76,SSP
31.04,44.15,46.88,Chalky,Blackgram,15,78,10,MOP
23.29,51.87,30.68,Silt,Mango,14,11,10,Ammonium Sulphate
27.73,55.63,57.98,Silt,Mango,4,70,28,MOP
26.38,72.55,15.22,Loamy,Maize,87,46,50,Urea
15.56,78.42,32.38,Peaty,ChickPea,36,24,75,SSP
28.28,31.6,51.72,Loamy,Mango,12,83,0,MOP
16.42,54.79,46.98,Loamy,Lentil,82,39,43,DAP
25.07,30.31,58.28,Chalky,Pomegranate,29,19,13,Ammonium Sulphate
22.73,42.93,45.96,Silt,Grapes,18,99,11,MOP
30.29,42.38,20.42,Peaty,Pomegranate,31,10,67,SSP
17.99,84.46,29.55,Peaty,Rice,23,10,63,SSP
32.93,68.37,22.24,Loamy,Maize,10,78,12,MOP
24.04,65.97,59.54,Peaty,Rice,19,20,12,Ammonium Sulphate
22.68,75.32,20.01,Loamy,Grapes,21,26,56,SSP
27.28,22.88,17.84,Peaty,Grapes,62,52,49,NPK
23.37,87.67,50.8,Clayey,ChickPea,44,72,66,NPK
20.94,57.12,8.9,Loamy,Blackgram,36,18,74,SSP
20.5,42.95,25.78,Silt,Mango,24,22,54,SSP
21.51,78.48,30.8,Chalky,Grapes,76,24,30,Urea
26.76,73.69,16.85,Peaty,PigeonPeas,22,15,28,Ammonium Sulphate
31.47,73.99,58.24,Silt,Lentil,93,33,41,DAP
34.08,47.42,47.68,Clayey,Maize,71,41,68,DAP
16.31,43.47,40.38,Clayey,Banana,55,61,77,NPK
28.87,67.84,26.55,Clayey,KidneyBeans,35,19,79,SSP
32.59,57.62,14.66,Clayey,Grapes,73,51,59,NPK
19.54,81.16,11.71,Clayey,Maize,79,23,50,Urea
31.46,66.29,41.02,Chalky,Mango,18,94,27,MOP
24.58,82.37,57.3,Silt,Mango,24,19,70,SSP
33.79,26.1,30.14,Loamy,Banana,66,24,40,Urea
32.85,46.75,44.8,Silt,Maize,6,75,21,MOP
29.66,21.01,52.25,Chalky,KidneyBeans,73,26,42,DAP
34.81,59.27,22.09,Clayey,KidneyBeans,78,64,75,NPK
20.68,43.32,36.79,Chalky,KidneyBeans,84,38,43,Urea
20.53,88.12,15.69,Silt,PigeonPeas,28,22,26,Ammonium Sulphate
17.72,43.14,11.64,Chalky,Mango,19,15,25,Ammonium Sulphate
27.46,83.02,51.52,Loamy,PigeonPeas,77,29,40,Urea
32.62,57.84,15.32,Chalky,Blackgram,12,84,25,MOP
17.23,51.57,7.45,Chalky,Maize,5,97,0,MOP
25,45.31,15.33,Chalky,KidneyBeans,14,26,23,Ammonium Sulphate
25.23,74.59,12.11,Silt,Banana,15,10,25,Ammonium Sulphate
16.74,88.91,33.57,Loamy,Rice,13,14,15,Ammonium Sulphate
17.22,89.8,42.53,Sandy,Lentil,77,42,44,Urea
15.89,71.36,8.8,Clayey,Pomegranate,4,81,13,MOP
28.91,42.33,19.14,Silt,ChickPea,28,26,11,Ammonium Sulphate
19.58,79.18,10.8,Loamy,ChickPea,93,45,63,DAP
18.3,78.29,31.81,Chalky,Lentil,0,84,22,MOP
21.98,63.93,48.27,Sandy,Mango,73,28,49,Urea
18.37,89.62,51.44,Peaty,ChickPea,22,30,76,SSP
33.13,66.68,35.29,Sandy,Blackgram,22,18,26,Ammonium Sulphate
15.97,88.25,51.02,Silt,ChickPea,26,26,76,SSP
16.01,87.93,47.77,Silt,ChickPea,71,42,49,DAP
20.72,35.33,15.88,Chalky,Maize,17,30,17,Ammonium Sulphate
34.72,84.69,51.46,Clayey,Grapes,33,13,55,SSP
32.18,83.99,20.56,Peaty,Pomegranate,80,76,45,NPK
24.8,50.46,32.46,Loamy,Mango,77,48,49,Urea
22.43,62.48,42.9,Silt,KidneyBeans,90,29,45,DAP
22.88,27.55,7.05,Loamy,Banana,70,37,30,Urea
23.39,31.33,55.37,Silt,Maize,20,100,11,MOP
20.35,40.77,31.13,Sandy,Pomegranate,85,27,35,Urea
25.07,49.48,19.74,Clayey,Pomegranate,70,34,44,DAP
32.73,64.79,18.23,Clayey,Pomegranate,3,98,6,MOP
22.7,83.76,42.04,Loamy,Banana,64,72,52,NPK
33.6,24.2,51.41,Sandy,Grapes,12,87,2,MOP
